Date,Open,High,Low,Close,Adj Close,Volume
1990/3/1,0,0.091146,0.077257,0.081597,0.056221,624528000
1990/4/1,0.078993,0.084201,0.074653,0.082465,0.056819,279244800
1990/5/1,0.084201,0.08941,0.080729,0.085938,0.059212,524188800
1990/6/1,0.085938,0.09809,0.085069,0.092014,0.063399,793440000
1990/7/1,0.092014,0.105035,0.082465,0.088542,0.061006,618076800
1990/8/1,0.088542,0.088542,0.076389,0.085938,0.059212,844185600
1990/9/1,0.085938,0.09375,0.075521,0.078125,0.053829,1059264000
1990/10/1,0.078125,0.111111,0.068576,0.102431,0.070576,1833552000
1990/11/1,0.100694,0.138889,0.099826,0.137153,0.0945,2387836800
1990/12/1,0.138889,0.157118,0.137153,0.155816,0.107359,1528588800
1991/1/1,0.155382,0.206597,0.136285,0.203125,0.139955,2360880000
1991/2/1,0.203125,0.210938,0.18316,0.194444,0.133974,3560745600
1991/3/1,0.195313,0.210938,0.163194,0.169271,0.116629,3855052800
1991/4/1,0.166667,0.227431,0.145833,0.206597,0.142347,2835633600
1991/5/1,0.201389,0.234375,0.192708,0.223958,0.154309,1916942400
1991/6/1,0.223958,0.251736,0.203125,0.211806,0.145936,1364716800
1991/7/1,0.217014,0.274306,0.213542,0.272569,0.187803,1334073600
1991/8/1,0.272569,0.322917,0.267361,0.315104,0.21711,2068747200
1991/9/1,0.310764,0.317708,0.272569,0.284722,0.196176,1410811200
1991/10/1,0.288194,0.34375,0.258681,0.338542,0.233259,2126188800
1991/11/1,0.338542,0.383681,0.324653,0.34375,0.236847,1539806400
1991/12/1,0.340278,0.473958,0.336806,0.460069,0.316992,1631577600
1992/1/1,0.454861,0.538194,0.447917,0.521701,0.359457,2406182400
1992/2/1,0.524306,0.605903,0.522569,0.565972,0.38996,1983672000
1992/3/1,0.565972,0.597222,0.536458,0.548611,0.377998,1376488800
1992/4/1,0.538194,0.583333,0.458333,0.506944,0.349289,1538690400
1992/5/1,0.510417,0.635417,0.506944,0.635417,0.437808,1582020000
1992/6/1,0.628472,0.673611,0.59375,0.652778,0.44977,1493503200
1992/7/1,0.652778,0.746528,0.614583,0.741319,0.510776,1371398400
1992/8/1,0.739583,0.746528,0.614583,0.651042,0.448574,1504612800
1992/9/1,0.649306,0.78125,0.649306,0.734375,0.505992,1446451200
1992/10/1,0.736111,0.854167,0.666667,0.833333,0.574174,1447120800
1992/11/1,0.840278,1.0625,0.833333,1.038194,0.715326,1970596800
