WEEK,q1,q2,q3,p1,p2,p3
1,3592320,1363666,1316800,0.039072488,0.032821263,0.024935237
2,2310768,3513756,1060416,0.041199311,0.030731545,0.026337277
3,5076400,1335114,1013696,0.034441837,0.03249333,0.026022052
4,2206192,1224998,5424768,0.041652794,0.034509485,0.020690372
5,6771088,1128434,1010624,0.029985735,0.033991682,0.026940811
6,1962256,3742064,934208,0.0420456,0.030247136,0.025913779
7,2298528,1318620,1127488,0.041582848,0.034250322,0.026464495
8,2423504,3948300,1054656,0.040785751,0.031540316,0.02632592
9,3275312,1644924,2035712,0.038794625,0.032269333,0.025854959
10,6230112,1553232,1186752,0.032222085,0.035053289,0.026509026
11,2236080,1031786,2646912,0.039668438,0.034660327,0.023655486
12,3460864,1285534,1269248,0.038222747,0.034793331,0.02672774
13,2176336,3335754,983104,0.041472819,0.030314178,0.02636124
14,4135472,1578544,1550144,0.038794273,0.034099436,0.027242256
15,2708672,4081724,1445120,0.040968548,0.029189519,0.027381062
16,3726768,1594616,1586816,0.039939605,0.033723837,0.026987471
17,2462144,1372882,1231680,0.04118461,0.03369039,0.026421571
18,5295888,1356114,933632,0.03369437,0.034273195,0.025982079
19,3921600,1254266,1697984,0.039651884,0.033874696,0.027243967
20,2869888,1137304,7009664,0.040100067,0.0378099,0.01931568
21,2137632,4139946,1968512,0.042356823,0.028836388,0.021304808
22,5901360,915296,1159296,0.029663452,0.036793289,0.02746208
23,2446664,1187424,1094848,0.048200999,0.038302872,0.029739069
24,3571960,1365182,1244032,0.042424296,0.039799748,0.029904472
25,2179920,1250544,1245632,0.045903818,0.039768789,0.03131294
26,2372264,2361942,1410240,0.04610373,0.038050062,0.029214658
27,4627480,1078570,1418304,0.040760695,0.03861029,0.028279043
28,2333128,2766680,1431488,0.045451754,0.034816896,0.028035729
29,2074856,1306184,999232,0.047446926,0.037541939,0.029825986
30,1998176,2540194,858944,0.048087441,0.036875546,0.031895607
31,4968688,1282210,787456,0.037867091,0.038093713,0.032094657
32,2001776,1313680,876416,0.047345847,0.037024374,0.03100312
33,2192984,1302514,1079360,0.047691356,0.037176368,0.032085912
34,1841992,882340,2289728,0.047613193,0.038616429,0.030326672
35,2158080,858466,1054208,0.044180345,0.039306985,0.029685072
36,1914120,874662,926592,0.04494981,0.039623603,0.029538675
37,2173880,2935710,2779584,0.048000607,0.036405003,0.022322517
38,5302728,1162332,1431616,0.038457386,0.038723747,0.024156492
39,3918528,1109934,5324544,0.036269464,0.038953794,0.024334593
40,7063168,1028454,1409664,0.031449835,0.038429915,0.024060343
41,2036712,4662626,884416,0.046314909,0.030331774,0.029383752
42,8537920,1188248,1061376,0.032097729,0.0382607,0.02935919
43,2454040,1267908,1115648,0.043854713,0.037572631,0.029793358
44,1964312,3658464,835584,0.046650802,0.036488592,0.02991552
45,4776760,1333440,912832,0.037820094,0.036077911,0.029434693
46,2278208,1529132,2038976,0.045813315,0.038740697,0.022396389
47,2218056,2335190,1572352,0.046408648,0.036903031,0.02538368
48,5799504,1067242,1094464,0.037865854,0.037182335,0.025492616
49,2035600,4652380,1071680,0.045815661,0.030877048,0.025187229
50,6275472,1289608,1035904,0.037228295,0.034812005,0.026704859
51,2346720,1308234,4398336,0.048146021,0.03799451,0.02550673
52,2838120,1122144,1951744,0.039823136,0.037919224,0.026091306
53,2395056,2993284,1530816,0.043749787,0.033681431,0.029408747
54,6503496,1020810,1904192,0.037384096,0.038404081,0.029976189
55,2849608,1266894,3826368,0.042540841,0.03904554,0.027568135
56,2441104,1601036,1463296,0.045484133,0.040248308,0.027859825
57,1834360,4189556,762688,0.048419547,0.030548146,0.031168276
58,2382144,1089732,8115584,0.045429004,0.037727083,0.019354531
59,5473848,1061098,753600,0.034350881,0.039064874,0.028649137
60,1978288,3615676,2577920,0.04472368,0.031053803,0.025934094
61,4075184,1125840,2558848,0.037123806,0.036275208,0.022150175
62,2782528,4275838,3529024,0.047199902,0.031825041,0.018251216
63,2670168,1711362,2265664,0.042892462,0.032417758,0.024828099
64,2920048,1872448,4729600,0.042593279,0.039311762,0.035574431
65,1820920,3722544,1792960,0.045607665,0.031111444,0.030331993
66,2767192,1934076,5221888,0.04236014,0.031488049,0.022243667
67,5263824,2043450,1762816,0.035756336,0.031203342,0.025438701
68,6739680,1546364,2190400,0.030668501,0.031020471,0.021907597
69,2467248,1797048,1777920,0.044172552,0.030812944,0.022867182
70,2966312,1217578,13097088,0.03888124,0.0338224,0.016040809
71,6363064,1465184,2074176,0.03099836,0.034379921,0.025634025
72,3683736,4103544,2012288,0.035237957,0.031171329,0.027013469
73,2955672,1473702,6014400,0.038302978,0.034311625,0.023252978
74,3914352,1433174,2224704,0.036845432,0.033367267,0.024502639
75,8007808,1256594,1447680,0.028397505,0.033423325,0.023798208
76,3507248,1608360,1338880,0.034171219,0.034214399,0.025592398
77,2452336,3384700,1565824,0.042439996,0.031042122,0.027036602
78,2510096,1144304,8105152,0.041089098,0.034092584,0.016887601
79,5450944,2065954,1046592,0.033160823,0.035459308,0.02586538
80,2046368,7709230,1219648,0.041959046,0.027450015,0.027118956
81,8392712,2660114,2393280,0.02806785,0.028647659,0.024332097
82,2719912,1207362,1932544,0.044228854,0.035358244,0.024596573
83,5371080,1356980,1477504,0.033467111,0.032233791,0.023587442
84,3018912,1401600,13188800,0.041079038,0.03172896,0.015910181
85,5978120,1444768,1075264,0.033138599,0.031799015,0.025564847
86,3885824,2570112,2580864,0.035674132,0.031669028,0.023569247
87,2215312,10484640,998592,0.042819865,0.022313196,0.025002984
88,3405160,1478288,1767936,0.038008687,0.032007308,0.026166434
89,2650864,1190544,4517376,0.040081249,0.033007222,0.023363926
90,2464640,1302320,2384384,0.040871604,0.033167939,0.021822106
91,5934496,1200880,1476032,0.032956106,0.032784774,0.02384806
92,3556824,2758176,2392832,0.0331145,0.027497593,0.021673766
93,2223328,6252352,2039104,0.043788406,0.018008781,0.021574177
94,3113192,5584272,2415552,0.043862608,0.027131044,0.020426548
95,4898792,5893680,1362880,0.034221775,0.01646428,0.024623173
96,3578480,1215760,3397504,0.03570137,0.031933342,0.024420271
97,4139824,1265504,2654080,0.036662426,0.031767786,0.022953958
98,7059832,1009312,2415488,0.034857563,0.0324742,0.021767572
99,3593880,1029504,8753408,0.037660094,0.032359301,0.016105375
100,2587256,1036640,3191488,0.03981206,0.032581639,0.017758108
101,2314720,2172656,3525440,0.043882418,0.030697082,0.022855221
102,2516952,10587632,1479616,0.0440426,0.019730065,0.023460803
103,4238704,2843392,2363328,0.038181588,0.021412911,0.022536313
104,6274224,1790672,2061120,0.033264247,0.026306811,0.022143466
105,3607840,2821728,2027584,0.039503063,0.031037726,0.022263704
106,6223144,1302720,2064768,0.031774581,0.031069716,0.023705162
107,3191904,1721696,2045248,0.03902712,0.030456469,0.022887933
108,2202664,2056112,1863872,0.043808184,0.029467762,0.023235673
109,2606232,2193008,3795456,0.042179284,0.027626867,0.023835168
110,2648392,16958464,1552512,0.041877143,0.026600986,0.023449397
111,2919096,1524240,1889920,0.041694758,0.031124869,0.023453675
112,2554304,3774128,1218560,0.041177589,0.024630807,0.02301867
113,8082048,1268624,1992000,0.034344961,0.032657572,0.02324239
114,5842040,1466528,1681536,0.036185014,0.032726542,0.023642194
115,6961784,1810352,1885184,0.034522463,0.032034295,0.023354702
116,2913896,1360416,3012544,0.04052495,0.032043044,0.023799573
117,3318008,1443984,3350720,0.039433193,0.031562143,0.0236788
118,3491528,1490256,2968832,0.038325366,0.030403689,0.024211101
119,6233992,1497344,2110400,0.032403768,0.031985903,0.023076824
120,4209312,2676224,2844352,0.036270048,0.030887145,0.022995944
121,4153048,2218384,2228416,0.037813863,0.030892835,0.022902901
122,8175424,1299056,1364672,0.028281378,0.032533955,0.022164945
123,4581448,2031712,1513408,0.032291885,0.035373749,0.023805894
